id;escola;tipo;salario
1;17005582;Efetivo;3500.7
2;17005582;Efetivo;3500.7
3;17005582;Contrato;1500.3
4;17005582;Contrato;1500.3
5;17005582;Contrato;1500.3
6;17005582;Contrato;1500.3
7;17005582;Efetivo;3500.7
8;17005582;Contrato;1500.3
9;17005582;Contrato;1500.3
10;17005582;Contrato;1500.3
11;17005582;Efetivo;3500.7
12;17005582;Efetivo;3500.7
13;17005582;Contrato;1500.3
14;17005582;Contrato;1500.3
15;17005582;Contrato;1500.3
16;17005582;Contrato;1500.3
17;17005582;Contrato;1500.3
18;17005582;Efetivo;3500.7
19;17005582;Efetivo;3500.7
20;17005582;Contrato;1500.3
21;17005582;Efetivo;3500.7
22;17005582;Efetivo;3500.7
23;17005582;Efetivo;3500.7
24;17005582;Contrato;1500.3
25;17005582;Contrato;1500.3
26;17005582;Efetivo;3500.7
27;17005582;Contrato;1500.3
28;17005582;Contrato;1500.3
29;17005582;Contrato;1500.3
30;17005582;Efetivo;3500.7
31;17005582;Contrato;1500.3
32;17005582;Contrato;1500.3
33;17005582;Efetivo;3500.7
34;17005582;Efetivo;3500.7
35;17005582;Contrato;1500.3
36;17005582;Efetivo;3500.7
37;17005582;Efetivo;3500.7
38;17005582;Contrato;1500.3
39;17005582;Efetivo;3500.7
40;17005582;Contrato;1500.3
41;17005582;Contrato;1500.3
42;17005582;Contrato;1500.3
43;17005582;Contrato;1500.3
44;17005582;Efetivo;3500.7
45;17005582;Efetivo;3500.7
46;17005582;Contrato;1500.3
47;17005582;Contrato;1500.3
48;17005582;Contrato;1500.3
49;17005582;Contrato;1500.3
50;17005582;Efetivo;3500.7
51;17005582;Efetivo;3500.7
52;17005582;Contrato;1500.3
53;17005582;Contrato;1500.3
54;17005582;Efetivo;3500.7
55;17005582;Efetivo;3500.7
56;17005582;Contrato;1500.3
57;17005582;Contrato;1500.3
58;17005582;Efetivo;3500.7
59;17005582;Contrato;1500.3
60;17005582;Contrato;1500.3
61;17005582;Contrato;1500.3
62;17005582;Efetivo;3500.7
63;17005582;Contrato;1500.3
64;17005582;Contrato;1500.3
65;17005582;Efetivo;3500.7
66;17005582;Contrato;1500.3
67;17005582;Contrato;1500.3
68;17005582;Contrato;1500.3
69;17005582;Contrato;1500.3
70;17005582;Efetivo;3500.7
71;17005582;Efetivo;3500.7
72;17005582;Efetivo;3500.7
73;17005582;Efetivo;3500.7
74;17005582;Contrato;1500.3
75;17005582;Contrato;1500.3
76;17005582;Contrato;1500.3
77;17005582;Contrato;1500.3
78;17005582;Contrato;1500.3
79;17005582;Efetivo;3500.7
80;17005582;Contrato;1500.3
81;17005582;Contrato;1500.3
82;17005582;Contrato;1500.3
83;17005582;Efetivo;3500.7
84;17005582;Contrato;1500.3
85;17005582;Efetivo;3500.7
86;17005582;Contrato;1500.3
87;17005620;Contrato;1500.3
