id;bairro;data;tipo;ano;mes
483034;BEIRA LAGO;2018-01-01;Sem pedestre;2018;1
239177;CENTRO;2018-01-01;Com pedestre;2018;1
197687;SAO JOAO;2018-01-01;Com pedestre;2018;1
219715;SAO JOAO;2018-01-01;Com pedestre;2018;1
195260;SAO JOAO;2018-01-01;Sem pedestre;2018;1
168084;CENTRO;2018-01-01;Sem pedestre;2018;1
117114;SETOR ANHANGUERA;2018-01-01;Com pedestre;2018;1
170463;ENTROCAMENTO;2018-01-01;Com pedestre;2018;1
232138;JOSE FERREIRA;2018-01-01;Com pedestre;2018;1
386942;SAO JOAO;2018-01-01;Com pedestre;2018;1
445962;CENTRO;2018-01-01;Com pedestre;2018;1
304833;SAO JOAO;2018-01-01;Sem pedestre;2018;1
193764;SAO JOAO;2018-01-01;Com pedestre;2018;1
273166;SENADOR;2018-01-01;Com pedestre;2018;1
72007;SENADOR;2018-01-01;Sem pedestre;2018;1
356093;SETOR BRASIL;2018-01-01;Com pedestre;2018;1
77836;CENTRO;2018-01-01;Sem pedestre;2018;1
96662;CENTRO;2018-01-01;Com pedestre;2018;1
265788;CENTRO;2018-01-01;Com pedestre;2018;1
425060;ENTROCAMENTO;2018-01-01;Com pedestre;2018;1
394116;SAO JOAO;2018-01-01;Com pedestre;2018;1
185962;CENTRO;2018-01-01;Com pedestre;2018;1
404553;SENADOR;2018-01-01;Com pedestre;2018;1
322404;SAO JOAO;2018-01-01;Com pedestre;2018;1
357494;ENTROCAMENTO;2018-01-01;Com pedestre;2018;1
50654;ENTROCAMENTO;2018-01-01;Com pedestre;2018;1
430800;CENTRO;2018-01-01;Com pedestre;2018;1
278826;PARQUE PRIMAVERA;2018-01-01;Com pedestre;2018;1
335016;SENADOR;2018-01-01;Sem pedestre;2018;1
57127;SENADOR;2018-01-01;Com pedestre;2018;1
61340;SENADOR;2018-01-01;Com pedestre;2018;1
302954;SAO JOAO;2018-01-01;Com pedestre;2018;1
235233;SAO JOAO;2018-01-01;Com pedestre;2018;1
441529;CENTRO;2018-01-01;Com pedestre;2018;1
215004;NOVO HORIZONTE POVOADO;2018-01-01;Com pedestre;2018;1
72428;SETOR SANTA LUZIA;2018-01-01;Com pedestre;2018;1
118892;SENADOR;2018-01-01;Sem pedestre;2018;1
74979;SAO JOAO;2018-01-01;Com pedestre;2018;1
445249;CENTRO;2018-01-01;Com pedestre;2018;1
51898;ARAGUAINA SUL;2018-01-01;Com pedestre;2018;1
397688;SAO JOAO;2018-01-01;Com pedestre;2018;1
59773;BARRA DA GROTA FAZENDA;2018-01-01;Com pedestre;2018;1
94955;JORGE IUNES;2018-01-01;Com pedestre;2018;1
294798;SAO JOAO;2018-01-01;Com pedestre;2018;1
109124;CIMBA;2018-01-01;Sem pedestre;2018;1
468080;SAO JOAO;2018-01-01;Sem pedestre;2018;1
300569;ENTROCAMENTO;2018-01-01;Com pedestre;2018;1
83009;ENTROCAMENTO;2018-01-01;Sem pedestre;2018;1
118687;SAO PEDRO;2018-01-01;Com pedestre;2018;1
425271;SAO JOAO;2018-01-01;Sem pedestre;2018;1
266605;SAO JOAO;2018-01-01;Com pedestre;2018;1
397729;SETOR ANHANGUERA;2018-01-01;Com pedestre;2018;1
229986;SAO JOAO;2018-01-01;Com pedestre;2018;1
28921;SETOR ANHANGUERA;2018-01-01;Com pedestre;2018;1
90488;SENADOR;2018-01-01;Com pedestre;2018;1
10887;ARAGUAINA SUL;2018-01-01;Com pedestre;2018;1
275074;SETOR BRASIL;2018-01-01;Com pedestre;2018;1
374903;JORGE IUNES;2018-01-01;Com pedestre;2018;1
214898;SAO JOAO;2018-01-01;Com pedestre;2018;1
410288;SAO JOAO;2018-01-01;Com pedestre;2018;1
342071;CENTRO;2018-01-01;Com pedestre;2018;1
15877;SENADOR;2018-01-01;Com pedestre;2018;1
168300;SETOR BRASIL;2018-01-01;Com pedestre;2018;1
368055;RAIZAL;2018-01-01;Com pedestre;2018;1
466804;CENTRO;2018-01-01;Sem pedestre;2018;1
169331;VILA SANTIAGO;2018-01-01;Com pedestre;2018;1
381527;SENADOR;2018-01-01;Sem pedestre;2018;1
14958;ENTROCAMENTO;2018-01-01;Com pedestre;2018;1
339757;SETOR BRASIL;2018-01-01;Com pedestre;2018;1
130821;CENTRO;2018-01-01;Com pedestre;2018;1
145305;ENTROCAMENTO;2018-01-01;Com pedestre;2018;1
270589;SAO JOAO;2018-01-01;Com pedestre;2018;1
354865;CENTRO;2018-01-01;Com pedestre;2018;1
469939;SAO JOAO;2018-01-01;Com pedestre;2018;1
240419;CENTRO;2018-01-01;Com pedestre;2018;1
417176;ENTROCAMENTO;2018-01-01;Com pedestre;2018;1
178195;SENADOR;2018-01-01;Com pedestre;2018;1
441284;VILA BRAGANTINA;2018-01-01;Com pedestre;2018;1
56614;JORGE IUNES;2018-01-01;Com pedestre;2018;1
330650;CIDADE JARDIM;2018-01-01;Com pedestre;2018;1
471165;SENADOR;2018-01-01;Com pedestre;2018;1
278679;CENTRO;2018-01-01;Com pedestre;2018;1
269918;CENTRO;2018-01-01;Sem pedestre;2018;1
123548;JARDIM VENEZA;2018-01-01;Com pedestre;2018;1
481090;SAO JOAO;2018-01-01;Com pedestre;2018;1
352823;CAZAROTO;2018-01-01;Com pedestre;2018;1
55045;CENTRO;2018-01-01;Com pedestre;2018;1
37697;ENTROCAMENTO;2018-01-01;Sem pedestre;2018;1
141366;ENTROCAMENTO;2018-01-01;Sem pedestre;2018;1
180063;SETOR BRASIL;2018-01-01;Com pedestre;2018;1
275801;ENTROCAMENTO;2018-01-01;Com pedestre;2018;1
274046;VILA SANTA RITA;2018-01-01;Com pedestre;2018;1
108909;SAO JOAO;2018-01-01;Com pedestre;2018;1
307048;ARAGUAINA SUL;2018-01-01;Com pedestre;2018;1
273060;PARQUE BOM VIVER;2018-01-01;Com pedestre;2018;1
347244;ENTROCAMENTO;2018-01-01;Com pedestre;2018;1
99556;JARDIM PARAISO;2018-01-01;Com pedestre;2018;1
282846;VILA COUTO MAGALHAES;2018-01-01;Sem pedestre;2018;1
423031;SENADOR;2018-01-01;Com pedestre;2018;1
30583;ENTROCAMENTO;2018-01-01;Com pedestre;2018;1
265574;CENTRO;2018-01-01;Com pedestre;2018;1
329936;SETOR ANHANGUERA;2018-01-01;Com pedestre;2018;1
464555;BELCHIOR;2018-01-01;Sem pedestre;2018;1
107673;SETOR BRASIL;2018-01-01;Sem pedestre;2018;1
63806;SENADOR;2018-01-01;Com pedestre;2018;1
357933;SAO JOAO;2018-01-01;Com pedestre;2018;1
93021;CENTRO;2018-01-01;Com pedestre;2018;1
52210;CENTRO;2018-01-01;Com pedestre;2018;1
298250;SAO JOAO;2018-01-01;Com pedestre;2018;1
439798;JORGE IUNES;2018-01-01;Com pedestre;2018;1
446607;SAO JOAO;2018-01-01;Com pedestre;2018;1
107783;SAO JOAO;2018-01-01;Com pedestre;2018;1
395532;CENTRO;2018-01-01;Com pedestre;2018;1
70961;ENTROCAMENTO;2018-01-01;Sem pedestre;2018;1
351647;SENADOR;2018-01-01;Com pedestre;2018;1
210964;SAO JOAO;2018-01-01;Com pedestre;2018;1
61628;ARAGUAINA SUL;2018-01-01;Com pedestre;2018;1
455940;SENADOR;2018-01-01;Com pedestre;2018;1
259172;SENADOR;2018-01-01;Com pedestre;2018;1
270344;ARAGUAINA SUL;2018-01-01;Com pedestre;2018;1
361945;CENTRO;2018-01-01;Com pedestre;2018;1
197070;JARDIM DOS IPES;2018-01-01;Com pedestre;2018;1
461649;CENTRO;2018-01-01;Com pedestre;2018;1
12717;SETOR ANHANGUERA;2018-01-01;Com pedestre;2018;1
27669;SAO JOAO;2018-01-01;Com pedestre;2018;1
214774;CENTRO;2018-01-01;Com pedestre;2018;1
483216;ELDORADO;2018-01-01;Com pedestre;2018;1
237242;SAO JOAO;2018-01-01;Com pedestre;2018;1
291136;SENADOR;2018-01-01;Com pedestre;2018;1
133084;CENTRO;2018-01-01;Com pedestre;2018;1
148119;SAO JOAO;2018-01-01;Sem pedestre;2018;1
85218;SETOR ANHANGUERA;2018-01-01;Com pedestre;2018;1
